region,state,so_gi,relational_recognition,adoption_parenting,non_discrimination,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
maine,ME,GI,--,0/7,4/4,2/2,0/4,0/2,15,6,21
maryland,MD,SO,2/3,3.5/7,3/4,2/2,0.5/4,--,11,7,18
maryland,MD,GI,--,0/7,3/4,2/2,0.5/4,1.5/2,11,7,18
massachusetts,MA,SO,2/3,5.5/7,4/4,2/2,0.75/4,--,14.25,9,23.25
massachusetts,MA,GI,--,1/7,3.25/4,2/2,2.75/4,0/2,14.25,9,23.25
michigan,MI,SO,2/3,2/7,-0.25/4,0/2,-0.5/4,--,3.25,-2.75,0.5
michigan,MI,GI,--,0/7,-0.25/4,0/2,-0.5/4,-2/2,3.25,-2.75,0.5
minnesota,MN,SO,2/3,3/7,4/4,2/2,0.5/4,--,11.5,6.5,18
minnesota,MN,GI,--,0/7,4/4,2/2,-0.5/4,1/2,11.5,6.5,18
mississippi,MS,SO,2/3,0.5/7,-0.5/4,-0.5/2,-0.5/4,--,1,-1,0
mississippi,MS,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,0.5/2,1,-1,0
missouri,MO,SO,2/3,2/7,0.25/4,-0.5/2,0.5/4,--,4.25,-2.75,1.5
missouri,MO,GI,--,0/7,0.25/4,-0.5/2,-0.5/4,-2/2,4.25,-2.75,1.5
montana,MT,SO,2/3,3/7,0/4,0/2,-0.5/4,--,4.5,-2.5,2
montana,MT,GI,--,0/7,0/4,0/2,-0.5/4,-2/2,4.5,-2.5,2
nebraska,NE,SO,2/3,1.5/7,0/4,0/2,0.5/4,--,4,-1.75,2.25
nebraska,NE,GI,--,0/7,0/4,0/2,-1.5/4,-0.25/2,4,-1.75,2.25
nevada,NV,SO,2/3,3.5/7,3/4,1/2,1.5/4,--,11,6.75,17.75
nevada,NV,GI,--,0/7,3/4,1/2,1.5/4,1.25/2,11,6.75,17.75
new hampshire,NH,SO,2/3,2/7,3/4,1/2,0.75/4,--,8.75,1.25,10
new hampshire,NH,GI,--,0/7,0/4,1/2,-1.25/4,1.5/2,8.75,1.25,10
new jersey,NJ,SO,2.5/3,6/7,4/4,2/2,1.5/4,--,16,8.5,24.5
new jersey,NJ,GI,--,1/7,4/4,2/2,1.5/4,0/2,16,8.5,24.5
new mexico,NM,SO,2/3,3.5/7,3.5/4,1/2,1/4,--,11,4.5,15.5
new mexico,NM,GI,--,0/7,3.5/4,0/2,1/4,0/2,11,4.5,15.5
new york,NY,SO,2/3,4.5/7,4/4,1/2,0.75/4,--,12.25,7,19.25
new york,NY,GI,--,1/7,1.5/4,1/2,1.75/4,1.75/2,12.25,7,19.25
north carolina,NC,SO,2/3,2.5/7,-0.25/4,1/2,-0.5/4,--,4.75,-1.75,3
north carolina,NC,GI,--,0/7,-0.25/4,1/2,-0.5/4,-2/2,4.75,-1.75,3
north dakota,ND,SO,2/3,2/7,-0.25/4,0/2,-0.5/4,--,3.25,-1.75,1.5
north dakota,ND,GI,--,0/7,-0.25/4,0/2,-0.5/4,-1/2,3.25,-1.75,1.5
ohio,OH,SO,2/3,2.5/7,0/4,0/2,-0.5/4,--,4,0.25,4.25
ohio,OH,GI,--,0/7,0/4,0/2,-0.5/4,0.75/2,4,0.25,4.25
oklahoma,OK,SO,2/3,3.5/7,-0.5/4,-0.5/2,-0.5/4,--,4,-2.5,1.5
oklahoma,OK,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,-1/2,4,-2.5,1.5
oregon,OR,SO,2.5/3,5.5/7,3/4,2/2,2.75/4,--,15.75,12.75,28.5
oregon,OR,GI,--,1/7,3/4,2/2,4.75/4,2/2,15.75,12.75,28.5
pennsylvania,PA,SO,2/3,3/7,0.25/4,1/2,-0.5/4,--,5.75,0.25,6
pennsylvania,PA,GI,--,0/7,0.25/4,0/2,-1.5/4,1.5/2,5.75,0.25,6
rhode island,RI,SO,2.5/3,5.5/7,3.5/4,1/2,1/4,--,13.5,8.5,22
rhode island,RI,GI,--,2/7,3.5/4,1/2,0/4,2/2,13.5,8.5,22
south carolina,SC,SO,2/3,2.5/7,-0.5/4,-0.5/2,-0.5/4,--,3,-2.5,0.5
south carolina,SC,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,-1/2,3,-2.5,0.5
south dakota,SD,SO,2/3,2/7,0/4,-0.5/2,-0.5/4,--,3,-0.5,2.5
south dakota,SD,GI,--,0/7,0/4,-0.5/2,-0.5/4,0.5/2,3,-0.5,2.5
tennessee,TN,SO,2/3,2.5/7,-1/4,0/2,0.5/4,--,4,-4.5,-0.5
tennessee,TN,GI,--,0/7,-1/4,0/2,-1.5/4,-2/2,4,-4.5,-0.5
texas,TX,SO,2/3,2.5/7,0/4,-0.5/2,0.75/4,--,4.75,-1.75,3
texas,TX,GI,--,0/7,0/4,-0.5/2,-0.25/4,-1/2,4.75,-1.75,3
utah,UT,SO,2/3,2/7,2/4,0.5/2,-0.5/4,--,6,2,8
utah,UT,GI,--,0/7,2/4,-0.5/2,-0.5/4,1/2,6,2,8
vermont,VT,SO,2.5/3,3/7,4/4,2/2,2/4,--,13.5,11.75,25.25
vermont,VT,GI,--,0/7,4/4,2/2,4/4,1.75/2,13.5,11.75,25.25
virginia,VA,SO,2/3,2/7,-0.75/4,0/2,-0.5/4,--,2.75,-1.25,1.5
virginia,VA,GI,--,0/7,-0.75/4,0/2,-0.5/4,0/2,2.75,-1.25,1.5
washington,WA,SO,2.5/3,4/7,4/4,2/2,1.5/4,--,14,10.5,24.5
washington,WA,GI,--,0/7,4/4,2/2,2.5/4,2/2,14,10.5,24.5
west virginia,WV,SO,2/3,2.5/7,0/4,0.5/2,-0.5/4,--,4.5,0,4.5
west virginia,WV,GI,--,0/7,0/4,0/2,-1.5/4,1.5/2,4.5,0,4.5
wisconsin,WI,SO,3/3,4/7,3/4,1/2,0.5/4,--,11.5,-0.75,10.75
wisconsin,WI,GI,--,1/7,0/4,0/2,-1.5/4,-0.25/2,11.5,-0.75,10.75
wyoming,WY,SO,2/3,2/7,0/4,0/2,0/4,--,4,-1.5,2.5
wyoming,WY,GI,--,0/7,0/4,0/2,-1/4,-0.5/2,4,-1.5,2.5
